Accession;Platform;Total bases;SRA filename;FastQ URL;FastQ filename;Submitter_id;;Metadata_name
ERR4129794;NextSeq 550;11092;ERR4129794.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129794/ERR4129794.fastq.gz;ERR4129794.fastq.gz;69_H;Healthy;KGCF32
ERR4129795;NextSeq 550;15413;ERR4129795.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129795/ERR4129795.fastq.gz;ERR4129795.fastq.gz;70_H;Healthy;KGCF33
ERR4129796;NextSeq 550;3546;ERR4129796.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129796/ERR4129796.fastq.gz;ERR4129796.fastq.gz;71_H;Healthy;KGCF34
ERR4129797;NextSeq 550;31681;ERR4129797.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129797/ERR4129797.fastq.gz;ERR4129797.fastq.gz;72_H;Healthy;KGCF35
ERR4129798;NextSeq 550;27281;ERR4129798.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129798/ERR4129798.fastq.gz;ERR4129798.fastq.gz;73_H;Healthy;KGCF36
ERR4129799;NextSeq 550;3995;ERR4129799.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129799/ERR4129799.fastq.gz;ERR4129799.fastq.gz;74_H;Healthy;KGCF37
ERR4129800;NextSeq 550;21004;ERR4129800.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129800/ERR4129800.fastq.gz;ERR4129800.fastq.gz;75_H;Healthy;KGCF38
ERR4129801;NextSeq 550;3740;ERR4129801.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129801/ERR4129801.fastq.gz;ERR4129801.fastq.gz;76_H;Healthy;KGCF39
ERR4129802;NextSeq 550;21384;ERR4129802.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129802/ERR4129802.fastq.gz;ERR4129802.fastq.gz;77_H;Healthy;KGCF40
ERR4129803;NextSeq 550;21649;ERR4129803.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129803/ERR4129803.fastq.gz;ERR4129803.fastq.gz;78_H;Healthy;KGCF41
ERR4129804;NextSeq 550;14279;ERR4129804.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129804/ERR4129804.fastq.gz;ERR4129804.fastq.gz;79_H;Healthy;KGCF42
ERR4129805;NextSeq 550;13313;ERR4129805.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129805/ERR4129805.fastq.gz;ERR4129805.fastq.gz;80_H;Healthy;KGCF43
ERR4129806;NextSeq 550;12145;ERR4129806.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129806/ERR4129806.fastq.gz;ERR4129806.fastq.gz;81_H;Healthy;KGCF44
ERR4129807;NextSeq 550;20756;ERR4129807.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129807/ERR4129807.fastq.gz;ERR4129807.fastq.gz;82_H;Healthy;KGCF45
ERR4129808;NextSeq 550;25566;ERR4129808.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129808/ERR4129808.fastq.gz;ERR4129808.fastq.gz;83_H;Healthy;KGCF46
ERR4129809;NextSeq 550;273;ERR4129809.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/009/ERR4129809/ERR4129809.fastq.gz;ERR4129809.fastq.gz;84_H;Healthy;KGCF47
ERR4129810;NextSeq 550;20161;ERR4129810.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/000/ERR4129810/ERR4129810.fastq.gz;ERR4129810.fastq.gz;85_H;Healthy;KGCF48
ERR4129811;NextSeq 550;685;ERR4129811.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/001/ERR4129811/ERR4129811.fastq.gz;ERR4129811.fastq.gz;86_H;Healthy;KGCF49
ERR4129812;NextSeq 550;24744;ERR4129812.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/002/ERR4129812/ERR4129812.fastq.gz;ERR4129812.fastq.gz;87_H;Healthy;KGCF50
ERR4129813;NextSeq 550;14980;ERR4129813.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/003/ERR4129813/ERR4129813.fastq.gz;ERR4129813.fastq.gz;88_H;Healthy;KGCF51
ERR4129814;NextSeq 550;4222;ERR4129814.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/004/ERR4129814/ERR4129814.fastq.gz;ERR4129814.fastq.gz;89_H;Healthy;KGCF53
ERR4129815;NextSeq 550;11386;ERR4129815.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/005/ERR4129815/ERR4129815.fastq.gz;ERR4129815.fastq.gz;90_H;Healthy;KGCF55
ERR4129816;NextSeq 550;2559;ERR4129816.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/006/ERR4129816/ERR4129816.fastq.gz;ERR4129816.fastq.gz;91_H;Healthy;KGCF56
ERR4129817;NextSeq 550;1533;ERR4129817.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/007/ERR4129817/ERR4129817.fastq.gz;ERR4129817.fastq.gz;92_H;Healthy;KGCF57
ERR4129818;NextSeq 550;15957;ERR4129818.sra;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR412/008/ERR4129818/ERR4129818.fastq.gz;ERR4129818.fastq.gz;93_H;Healthy;KGCF58
